Date,"PM,(µg/m3)"
6/19/16 1:10,2.4950027
6/19/16 1:15,2.395996
6/19/16 1:20,2.4950027
6/19/16 1:25,2.395996
6/19/16 1:30,2.296997
6/19/16 1:35,2.197998
6/19/16 1:39,2.197998
6/19/16 1:44,2.395996
6/19/16 1:49,2.197998
6/19/16 1:54,2.197998
6/19/16 1:59,2.296997
6/19/16 2:04,2.296997
6/19/16 2:08,2
6/19/16 2:13,2.197998
6/19/16 2:18,2.296997
6/19/16 2:23,2.098999
6/19/16 2:28,2.098999
6/19/16 2:33,2.296997
6/19/16 2:38,2.098999
6/19/16 2:42,2.197998
6/19/16 2:47,2.098999
6/19/16 2:52,2.197998
6/19/16 2:57,2.197998
6/19/16 3:02,2
6/19/16 3:07,2
6/19/16 3:11,2
6/19/16 3:16,2.098999
6/19/16 3:21,2
6/19/16 3:26,2.197998
6/19/16 3:31,2.098999
6/19/16 3:36,2.098999
6/19/16 3:41,2
6/19/16 3:45,2
6/19/16 3:50,2
6/19/16 3:55,2.098999
6/19/16 4:00,1.901001
6/19/16 4:05,2
6/19/16 4:10,2
6/19/16 4:14,1.901001
6/19/16 4:19,1.901001
6/19/16 4:24,2.098999
6/19/16 4:29,2
6/19/16 4:34,2
6/19/16 4:39,1.901001
6/19/16 4:44,2
6/19/16 4:48,2
6/19/16 4:53,2
6/19/16 4:58,2.395996
6/19/16 5:03,2.296997
6/19/16 5:08,2.098999
6/19/16 5:13,1.901001
6/19/16 5:17,2
6/19/16 5:22,2.098999
6/19/16 5:27,2
6/19/16 5:32,1.901001
6/19/16 5:37,1.901001
6/19/16 5:42,2
6/19/16 5:47,2.4950027
6/19/16 5:51,2.4950027
6/19/16 5:56,2.197998
6/19/16 6:01,2
6/19/16 6:06,2.098999
6/19/16 6:11,2.296997
6/19/16 6:16,2.296997
6/19/16 6:21,2.4950027
6/19/16 6:25,2.6930008
6/19/16 6:30,2.8909988
6/19/16 6:35,2.6930008
